,team_name,pt_for_dif,pt_ag_dif
0,AR-Pine_Bluff,-4.333333333,-5.037037037
1,Abil_Christian,6.474999999999994,-2.875
2,Air_Force,0.9703703703703752,1.3592592592592563
3,Akron,3.962962962962962,-2.185185185
4,Alabama,6.1851851851851904,-7.666666667
5,Alabama_A&M,5.263888889,-4.75
6,Alabama_State,2.5509259259259216,-0.421296296
7,Albany,3.375,-0.375
8,Alcorn_State,4.259259259259257,0.2222222222222238
9,American,0.2962962962962952,-0.740740741
10,Appalachian_St,5.629629629629633,0.25925925925925714
11,Arizona,5,-4.666666667
12,Arizona_State,0.4333333333333324,-3.966666667
13,Arkansas,3,-4.259259259
14,Arkansas_State,8.222222222222221,0.9629629629629667
15,Army,3.2222222222222237,1.888888888888881
16,Auburn,2.962962962962962,-4.666666667
17,Austin_Peay,5.435185185185186,-4.324074074
18,BYU,5.1768518518518505,-6.389814815
19,Ball_State,4.592592592592591,3.1851851851851856
20,Baylor,7.418518518518515,-0.925925926
21,Bellarmine,1.509259259259262,-0.296296296
22,Belmont,5.166666666666662,-2.6
23,Bethune-Cookman,8.037037037037038,2.555555555555557
24,Binghamton,4.916666666666667,-3.291666667
25,Boise_State,4.851851851851852,-4.966666667
26,Boston_College,0.7333333333333343,-3.9
27,Boston_U,8.037037037037036,2.4074074074074048
28,Bowling_Green,5.148148148148152,-1.62962963
29,Bradley,4.499999999999996,-4.2
30,Brown,4.428571428571426,-0.047619048
31,Bryant,2.125,-4.833333333
32,Bucknell,-3.703703704,-8.296296296
33,Buffalo,-1.333333333,-3.703703704
34,Butler,2.0333333333333363,0.3000000000000019
35,C._Carolina,3.7777777777777715,-5.407407407
36,CSU_Bakersfield,5.966666666666669,-4
37,CSU_Fullerton,1.2083333333333333,-2.041666667
38,CSU_Northridge,1.9333333333333347,-1.3
39,Cal,5.400000000000003,-5.266666667
40,Cal_Baptist,3.1625000000000014,-3.675
41,Cal_Poly,1.5074074074074086,-3.77037037
42,Campbell,1.3333333333333333,-5.444444444
43,Canisius,-1.5,-7.333333333
44,Cent_Arkansas,-2.143518519,-3.902777778
45,Cent_Conn_St,6.5,2.7916666666666665
46,Cent_Michigan,3.185185185185181,-3.444444444
47,Charleston,6.222222222222224,-0.407407407
48,Charleston_So,3.9675925925925903,-1.347222222
49,Charlotte,1.418518519,-4.848148148
50,Chattanooga,2.1481481481481475,1.518518518518519
51,Cincinnati,4.507407407407409,-3.737037037
52,Clemson,4.166666666666667,-3.566666667
53,Cleveland_State,-0.133333333,-5.633333333
54,Colgate,1,-3.296296296
55,Colorado,4.066666666666667,-7.966666667
56,Colorado_State,10.403703703703705,-0.459259259
57,Columbia,3.4761904761904767,-2.142857143
58,Coppin_State,-0.238095238,-3.095238095
59,Cornell,2.3333333333333286,-6.619047619
60,Creighton,6.900000000000001,-3.166666667
61,Dartmouth,-2.37E-15,-10.19047619
62,Davidson,-4.925925926,-5.074074074
63,Dayton,4.037037037037038,-1.111111111
64,DePaul,0.7000000000000005,-2.3
65,Delaware,2.888888888888895,-4.925925926
66,Delaware_State,0.4285714285714306,-5.142857143
67,Denver,4.898148148148152,-3.328703704
68,Detroit_Mercy,0.43333333333333474,-5.733333333
69,Drake,3.1333333333333306,-4.466666667
70,Drexel,7.740740740740743,-2.740740741
71,Duke,4.6333333333333355,-1.233333333
72,Duquesne,-2.62962963,-8.962962963
73,ECU,1.5185185185185144,-3.666666667
74,ETSU,-1.666666667,-4.814814815
75,E_Illinois,-2.566666667,-4.040740741
76,E_Kentucky,3.8240740740740713,-3.300925926
77,E_Michigan,-1.962962963,-5.777777778
78,E_Washington,2.8888888888888857,-0.148148148
79,Elon,2.1481481481481453,0.5925925925925952
80,Evansville,3.6333333333333306,-4.8
81,FAU,4.2444444444444445,-2.322222222
82,FGCU,2.824074074074076,-2.412037037
83,FIU,7.679629629629633,-1.178703704
84,Fair_Dickinson,2.5416666666666665,3.6666666666666665
85,Fairfield,3.0333333333333363,-2
86,Florida,7.333333333333333,-6.888888889
87,Florida_A&M,2.3333333333333335,-4.481481481
88,Florida_State,2.900000000000001,-3.3
89,Fordham,1.1851851851851858,1.8518518518518572
90,Fort_Wayne,-2.4,-4.033333333
91,Fresno_State,-1.488888889,-9.366666667
92,Furman,2.851851851851857,-2.925925926
93,G_Washington,2.8518518518518476,0.48148148148148096
94,Ga_Southern,2.7777777777777857,-7.037037037
95,Gardner-Webb,1.4861111111111096,-1.828703704
96,George_Mason,6.3703703703703765,-1.148148148
97,Georgetown,-2.8,-4.666666667
98,Georgia,5.111111111111119,-5.296296296
99,Georgia_State,5.148148148148145,-4.666666667
100,Georgia_Tech,2.0666666666666678,-1.933333333
101,Gonzaga,3.8657407407407427,-0.527777778
102,Grambling,-5.926767677,-6.308501684
103,Grand_Canyon,7.1875,-4
104,Green_Bay,0.9333333333333323,-2.233333333
105,Hampton,1.777777777777781,-6.407407407
106,Harvard,-0.619047619,-4.666666667
107,Hawai'i,-0.7,-6.233333333
108,High_Point,3.5833333333333335,-6.884259259
109,Hofstra,3.555555555555562,-1.111111111
110,Holy_Cross,0.8888888888888905,-4.148148148
111,Houston,1.5555555555555571,-5.748148148
112,Houston_Christian,3.299999999999997,-0.9
113,Howard,8.333333333333329,-3.714285714
114,IU_Indy,3.200000000000003,-2.5
115,Idaho,-1.296296296,-0.518518519
116,Idaho_State,1.6296296296296238,-5.37037037
117,Illinois,-0.033333333,-2.566666667
118,Illinois_State,4.8666666666666645,-0.5
119,Incarnate_Word,1.722222222222219,-2.688888889
120,Indiana,4.266666667,-2.766666667
121,Indiana_State,2.8999999999999964,-5.1
122,Iona,4.700000000000003,-1.7
123,Iowa,8.899999999999997,-0.266666667
124,Iowa_State,6.744444444,-4.588888889
125,JMU,0.074074074,-7.814814815
126,Jackson_State,1.356481481481481,-2.032407407
127,Jacksonville,-2.657407407,-7.689814815
128,Jacksonville_St,-0.435185185,-4.277777778
129,Kansas,8.122222222222225,-0.666666667
130,Kansas_State,0.32222222222222285,-8.555555556
131,Kennesaw_State,2.8287037037037046,-1.990740741
132,Kent_State,4.370370370370367,0.5555555555555571
133,Kentucky,7.296296296296295,-0.074074074
134,LA_Tech,2.0305555555555563,0.3361111111111086
135,LIU,0.25,-6.25
136,LSU,2.962962962962967,-2.185185185
137,La_Salle,3.222222222222219,-3.703703704
138,Lafayette,0.1851851851851786,0.44444444444444287
139,Lamar,-0.718518519,-4.685185185
140,Le_Moyne,1.2222222222222285,-2.666666667
141,Lehigh,1.8888888888888904,0.8518518518518524
142,Liberty,-0.458333333,-8.925925926
143,Lindenwood,5.629629629629629,0.10740740740740762
144,Lipscomb,6.222222222222224,0.7546296296296285
145,Little_Rock,1.0296296296296295,-4.251851852
146,Long_Beach_State,-0.5,-2.4
147,Longwood,1.9537037037037048,-4.175925926
148,Louisiana,2.6296296296296333,-3.333333333
149,Louisville,-0.366666667,-3.366666667
150,Loyola-Chicago,0.9259259259259238,-6.148148148
151,Loyola_(MD),1.3703703703703762,1.6666666666666619
152,Loyola_Mary,6.171296296296295,-0.898148148
153,MD-E_Shore,5.047619047619044,-0.904761905
154,Maine,6,-3.25
155,Manhattan,-0.133333333,4.736951571734001e-15
156,Marist,-1.066666667,-0.766666667
157,Marquette,2.6666666666666665,-4.6
158,Marshall,4.1111111111111045,-3.37037037
159,Maryland,6.099999999999999,-4.3
160,Mcneese,2.7777777777777763,-0.803703704
161,Memphis,-1,-5
162,Mercer,2.1111111111111143,-2.777777778
163,Mercyhurst,5.75,-6.375
164,Merrimack,-2.275,-1.416666667
165,Miami,3.233333333333339,1.0333333333333314
166,Miami_(OH),8.296296296296296,1.1851851851851858
167,Michigan,6.6925925925925895,-0.848148148
168,Michigan_State,1.9259259259259238,-6.585185185
169,Mid_Tennessee,3.7175925925925952,-10.60833333
170,Milwaukee,9.699999999999998,0.1333333333333305
171,Minnesota,0.4925925925925914,-2.637037037
172,Miss_St,3.2592592592592595,-3.777777778
173,Miss_Valley_St,2.481481481481483,-4.037037037
174,Missouri,2.7037037037037046,-2.592592593
175,Missouri_State,1.7666666666666682,-3.766666667
176,Monmouth,7.962962962962959,-2.62962963
177,Montana,3.0092592592592617,-3.847222222
178,Montana_State,3,-3.111111111
179,Morehead_State,2.7592592592592595,-0.040740741
180,Morgan_State,6.857142857142851,-1.142857143
181,Mt_St_Mary's,2.800000000000002,0.3999999999999962
182,Murray_State,-0.911111111,-4.5
183,NC_A&T,-1.481481481,-5.888888889
184,NC_Central,4.047619047619047,-7.285714286
185,NC_State,3.333333333333338,-3.766666667
186,NJIT,-2.583333333,-7.75
187,N_Arizona,8.666666666666666,1.962962962962962
188,N_Colorado,3.1851851851851856,-2.740740741
189,N_Illinois,-3.148148148,-5.222222222
190,N_Kentucky,4.733333333333339,-2.766666667
191,Navy,-1.666666667,-2.296296296
192,Nebraska,0.033333333,-13.7
193,Nevada,4.311111111111107,-4.337037037
194,New_Mexico,1.0740740740740715,-5.337037037
195,New_Mexico_St,3.805555556,-4.6875
196,New_Orleans,-0.655555556,-2.859259259
197,Niagara,3.500000000000002,3.566666666666663
198,Nicholls,-0.240740741,-4.648148148
199,Norfolk_State,1.3333333333333381,-7.19047619
200,North_Alabama,4.444444444444443,-3.217592593
201,North_Dakota,-1.277777778,-5.787037037
202,North_Dakota_St,-0.00462963,-1.032407407
203,North_Florida,2.9259259259259287,-0.435185185
204,North_Texas,2.9925925925925916,-0.374074074
205,Northeastern,-2.777777778,-7.148148148
206,Northern_Iowa,0.6037037037037057,-4.077777778
207,Northwestern,3.3333333333333286,-3.4
208,Notre_Dame,2.3999999999999964,-2.4
209,Oakland,6.3666666666666645,4.500000000000004
210,Ohio,4.555555555555557,-8.259259259
211,Ohio_State,4.499999999999996,-2.966666667
212,Oklahoma,5.592592592592591,-5.222222222
213,Oklahoma_State,7.766666666666666,-2.992592593
214,Old_Dominion,-3.111111111,-6.222222222
215,Ole_Miss,2.626262626262625,-3.235690236
216,Omaha,4.472222222222224,-2.421296296
217,Oral_Roberts,1.3611111111111096,-7.217592593
218,Oregon,3.5333333333333363,-3.466666667
219,Oregon_State,6.1814814814814865,-4.718518519
220,PV_A&M,4.592592592592591,-0.814814815
221,Pacific,3.7638888888888857,2.143518518518519
222,Penn,4.238095238095236,-0.19047619
223,Penn_State,8.348148148148146,-1.092592593
224,Pepperdine,-2.689814815,-8.152777778
225,Pitt,4.233333333,-2.3
226,Portland,5.800925925925924,-2.981481481
227,Portland_State,1.6574074074074094,-9.884259259
228,Presbyterian,6.666666666666664,2.2175925925925903
229,Princeton,8.761904761904765,0.8571428571428564
230,Providence,4.666666666666667,1.3999999999999961
231,Purdue,12,1.4703703703703752
232,Queens_University,7.768518518518519,4.384259259259257
233,Quinnipiac,3.3333333333333335,-1.966666667
234,Radford,2.0324074074074097,0.078703704
235,Rice,-0.018518519,-0.488888889
236,Richmond,3.333333333333331,-3.407407407
237,Rider,-1,-2.466666667
238,Robert_Morris,3.3333333333333286,-1.3
239,Rutgers,-1.366666667,-9.233333333
240,SE_Louisiana,3.5925925925925903,5.140740740740739
241,SE_Missouri_St,5.77037037,0.9407407407407362
242,SF_Austin,3.296296296,-4.925925926
243,SIUE,1.7148148148148152,-5.5
244,SMU,2.3444444444444437,-3.418518519
245,S_Carolina_St,3.952380952380954,-1.285714286
246,S_Illinois,1.900000000000001,-3.366666667
247,Sacramento_St,2.5555555555555594,-2.037037037
248,Sacred_Heart,1.6416666666666704,-4.475
249,Saint_Joe's,6.296296296296295,-3.074074074
250,Saint_Louis,4.518518518518519,-1.222222222
251,Saint_Mary's,3.8611111111111143,-1.023148148
252,Sam_Houston,3.847222222222219,-1.125
253,Samford,3.8148148148148238,-0.222222222
254,San_Diego,-3.986111111,-4.560185185
255,San_Diego_State,4.429629629629635,-5.737037037
256,San_Francisco,3.6111111111111094,-2.314814815
257,San_Jose_State,4.751851851851853,-2.992592593
258,Santa_Clara,-3.717592593,-4.462962963
259,Seattle,4.3411375661375615,-8.959259259
260,Seton_Hall,4.9333333333333345,-1.566666667
261,Siena,4.900000000000001,-2.166666667
262,South_Alabama,2.1481481481481524,-5.666666667
263,South_Carolina,-0.740740741,-6.296296296
264,South_Dakota,4.898148148148148,-4.287037037
265,South_Dakota_St,9.324074074074076,-2.217592593
266,Southern,3.8425925925925903,-4.847222222
267,Southern_Indiana,-2.907407407,-4.781481481
268,Southern_Miss,5.851851851851852,-3.111111111
269,Southern_Utah,4.798148148148154,-1.713888889
270,St._Thomas_-_Minnesota,6.949074074074076,-6.055555556
271,St_Bonaventure,9.259259259,-0.111111111
272,St_Francis_(PA),3.9583333333333335,-3.25
273,St_John's,-0.6,-4.5
274,St_Peter's,1.6333333333333329,-1.866666667
275,Stanford,7.733333333,-7.333333333
276,Stetson,1.6666666666666667,-3.847222222
277,Stonehill,2.5,-0.291666667
278,Stony_Brook,2.2962962962962954,-4.185185185
279,Syracuse,1.8333333333333333,-4.433333333
280,TCU,0.8296296296296338,-9.637037037
281,Tarleton,5.512499999999996,-7.8
282,Temple,1.5555555555555525,-0.925925926
283,Tenn_Tech,5.903703703703701,-3.62962963
284,Tennessee,6.407407407407409,-4.481481481
285,Tennessee_St,8.114814814814812,-0.414814815
286,Texas,4.518518518518519,-1.296296296
287,Texas_A&M,2.518518518518514,-2
288,Texas_A&M-CC,2.114814814814816,-5.607407407
289,Texas_A&M-Commerce,2.9333333333333322,0.7888888888888914
290,Texas_Southern,4,0.9629629629629619
291,Texas_State,4.037037037037035,-0.407407407
292,Texas_Tech,2.9740740740740725,-1
293,The_Citadel,3.370370370370376,-3.259259259
294,Toledo,1.7407407407407476,-3.259259259
295,Towson,6.222222222222224,-1.962962963
296,Troy,7.296296296296298,-0.222222222
297,Tulane,3.4444444444444478,-5.296296296
298,Tulsa,8.814814814814822,-1.296296296
299,UAB,-0.837037037,-6.814814815
300,UCF,2.040740741,-5.77037037
301,UCLA,2.7000000000000077,-6.066666667
302,UCSB,4.100000000000004,0.8666666666666648
303,UC_Davis,3.4333333333333322,1.1481481481481524
304,UC_Irvine,0.5333333333333267,-0.1
305,UC_Riverside,2.866666666666665,-3.1
306,UC_San_Diego,1.0703703703703742,-0.407407407
307,UConn,4.200000000000003,-4.233333333
308,UIC,4.666666666666669,0.7000000000000028
309,UL_Monroe,2.6666666666666665,-5.222222222
310,UMBC,-2.625,-1.5
311,UMKC,2.6574074074074048,-4.375
312,UMass,2.3333333333333335,-4.111111111
313,UMass_Lowell,9.458333333333334,-2.375
314,UNC,8.033333333333331,-0.6
315,UNCG,1.4074074074074094,1.0370370370370356
316,UNC_Asheville,2.694444444444443,-3.763888889
317,UNC_Wilmington,-0.296296296,-4.777777778
318,UNH,6.5,-1.958333333
319,UNLV,-0.240740741,-0.733333333
320,URI,2.7037037037037046,-2.555555556
321,USC,6.199999999999998,-3.8
322,USC_Upstate,2.6481481481481475,-3.458333333
323,USF,1.296296296,-1.333333333
324,UTEP,1.6555555555555561,-3.224074074
325,UTSA,0.8074074074074105,-5.648148148
326,UT_Arlington,4.048941799,-2.435449735
327,UT_Martin,0.32962962962962666,-2.951851852
328,UT_Rio_Grande,3.366666666666665,-6.391666667
329,UVA,-0.066666667,-9.266666667
330,Utah,11.799999999999999,-6.266666667
331,Utah_State,3.0259259259259275,-6.055555556
332,Utah_Tech,1.659259259259258,-5.980555556
333,Utah_Valley,8.396296296296299,-3.462037037
334,VCU,3.037037037037033,-4.222222222
335,VMI,-3.185185185,-5.666666667
336,Valparaiso,3,1.1999999999999982
337,Vanderbilt,3.3333333333333357,-4.592592593
338,Vermont,2.125,-3.958333333
339,Villanova,6.766666666666666,-3.066666667
340,Virginia_Tech,6.733333333333332,-0.9
341,W_Carolina,3.074074074074076,-0.814814815
342,W_Illinois,3.1481481481481475,-0.762962963
343,W_Kentucky,6.290740741,-0.550925926
344,W_Michigan,3.1111111111111143,-3.962962963
345,Wagner,-2.916666667,-5.083333333
346,Wake_Forest,4.233333333333334,-5.766666667
347,Washington,5.433333333333337,-1.166666667
348,Washington_St,5.788888888888891,-2.751851852
349,Weber_State,3.481481481481486,-3.777777778
350,West_Georgia,-2,-5
351,West_Virginia,6.714814814814818,-3.633333333
352,Wichita_State,2.4444444444444478,1.4814814814814856
353,William_&_Mary,6.740740740740738,-1.296296296
354,Winthrop,-0.037037037,-1.833333333
355,Wisconsin,2.033333333333329,-6.1
356,Wofford,3.555555555555557,0.4444444444444476
357,Wright_State,0.9666666666666686,-2.3
358,Wyoming,6.203703703703705,0.3333333333333333
359,Xavier,2.700000000000003,-5.766666667
360,Yale,3.4285714285714306,-3.047619048
361,Youngstown_St,2.7666666666666657,-1.833333333
